categoryName,trending_date,country,count
Autos & Vehicles,2020-09-16 00:00:00+00:00,Russia,16
Autos & Vehicles,2020-09-16 00:00:00+00:00,South Korea,7
Autos & Vehicles,2020-09-16 00:00:00+00:00,United Kingdom,2
Autos & Vehicles,2020-09-16 00:00:00+00:00,United States,4
Autos & Vehicles,2020-09-17 00:00:00+00:00,Brazil,2
Autos & Vehicles,2020-09-17 00:00:00+00:00,Canada,6
Autos & Vehicles,2020-09-17 00:00:00+00:00,France,7
Autos & Vehicles,2020-09-17 00:00:00+00:00,Germany,10
Autos & Vehicles,2020-09-17 00:00:00+00:00,India,1
Autos & Vehicles,2020-09-17 00:00:00+00:00,Japan,10
Autos & Vehicles,2020-09-17 00:00:00+00:00,Mexico,1
Autos & Vehicles,2020-09-17 00:00:00+00:00,Russia,7
Autos & Vehicles,2020-09-17 00:00:00+00:00,South Korea,6
Autos & Vehicles,2020-09-17 00:00:00+00:00,United Kingdom,1
Autos & Vehicles,2020-09-17 00:00:00+00:00,United States,3
Autos & Vehicles,2020-09-18 00:00:00+00:00,Brazil,2
Autos & Vehicles,2020-09-18 00:00:00+00:00,Canada,6
Autos & Vehicles,2020-09-18 00:00:00+00:00,France,8
Autos & Vehicles,2020-09-18 00:00:00+00:00,Germany,10
Autos & Vehicles,2020-09-18 00:00:00+00:00,India,1
Autos & Vehicles,2020-09-18 00:00:00+00:00,Japan,9
Autos & Vehicles,2020-09-18 00:00:00+00:00,Mexico,1
Autos & Vehicles,2020-09-18 00:00:00+00:00,Russia,9
Autos & Vehicles,2020-09-18 00:00:00+00:00,South Korea,5
Autos & Vehicles,2020-09-18 00:00:00+00:00,United Kingdom,1
Autos & Vehicles,2020-09-18 00:00:00+00:00,United States,5
Autos & Vehicles,2020-09-19 00:00:00+00:00,Brazil,2
Autos & Vehicles,2020-09-19 00:00:00+00:00,Canada,4
Autos & Vehicles,2020-09-19 00:00:00+00:00,France,9
Autos & Vehicles,2020-09-19 00:00:00+00:00,Germany,9
Autos & Vehicles,2020-09-19 00:00:00+00:00,Japan,8
Autos & Vehicles,2020-09-19 00:00:00+00:00,Mexico,1
Autos & Vehicles,2020-09-19 00:00:00+00:00,Russia,9
Autos & Vehicles,2020-09-19 00:00:00+00:00,South Korea,4
Autos & Vehicles,2020-09-19 00:00:00+00:00,United Kingdom,1
Autos & Vehicles,2020-09-19 00:00:00+00:00,United States,4
Autos & Vehicles,2020-09-20 00:00:00+00:00,Brazil,2
Autos & Vehicles,2020-09-20 00:00:00+00:00,Canada,3
Autos & Vehicles,2020-09-20 00:00:00+00:00,France,12
Autos & Vehicles,2020-09-20 00:00:00+00:00,Germany,12
Autos & Vehicles,2020-09-20 00:00:00+00:00,India,1
Autos & Vehicles,2020-09-20 00:00:00+00:00,Japan,8
Autos & Vehicles,2020-09-20 00:00:00+00:00,Mexico,2
Autos & Vehicles,2020-09-20 00:00:00+00:00,Russia,12
